Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain	Shear Stress
[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]	[Pa]
2.22E+1	******	******	******	******	5	1.71E-2	-5.55E-5	4.2E-3
2.23E+1	******	******	******	******	5	6.97E-2	-1.36E-4	1.71E-2
2.24E+1	******	******	******	******	5	4.69E-3	-5.34E-8	1.15E-3
2.25E+1	******	******	******	******	5	-1.69E-2	-3.56E-5	-4.15E-3
2.26E+1	******	******	******	******	5	5.19E-2	-1.58E-5	1.28E-2
2.27E+1	******	******	******	******	5	9.29E-3	4.08E-5	2.28E-3
2.28E+1	******	******	******	******	5	-7.84E-2	1.53E-4	-1.93E-2
2.29E+1	******	******	******	******	5	4.92E-2	7.07E-5	1.21E-2
2.3E+1	******	******	******	******	5	-7.11E-3	4.76E-5	-1.75E-3
2.31E+1	******	******	******	******	5	-1.12E-1	2.14E-4	-2.75E-2
2.32E+1	******	******	******	******	5	-5.53E-2	1.24E-4	-1.36E-2
2.33E+1	******	******	******	******	5	2.48E-2	-9.42E-6	6.09E-3
2.34E+1	******	******	******	******	5	-7.58E-2	7.14E-5	-1.86E-2
2.35E+1	******	******	******	******	5	-4.31E-2	8.61E-5	-1.06E-2
2.36E+1	******	******	******	******	5	1.96E-2	-2.57E-5	4.82E-3
2.37E+1	******	******	******	******	5	-3.42E-3	-1.36E-5	-8.4E-4
2.38E+1	******	******	******	******	5	9.4E-3	-5.24E-5	2.31E-3
2.39E+1	******	******	******	******	5	8.75E-2	-9.31E-5	2.15E-2
2.4E+1	******	******	******	******	5	8.78E-2	-1.07E-4	2.16E-2
2.41E+1	******	******	******	******	5	3.77E-2	-1.74E-5	9.27E-3
2.42E+1	******	******	******	******	5	5.62E-2	-2.72E-5	1.38E-2
2.43E+1	******	******	******	******	5	7.29E-2	3.2E-5	1.79E-2
2.44E+1	******	******	******	******	5	3.2E-3	7.81E-5	7.87E-4
2.45E+1	******	******	******	******	5	-2.57E-2	1.52E-4	-6.31E-3
2.46E+1	******	******	******	******	5	5.55E-2	5.02E-5	1.36E-2
2.47E+1	******	******	******	******	5	-4.3E-2	1.84E-4	-1.06E-2
2.48E+1	******	******	******	******	5	-3.63E-2	5.1E-5	-8.91E-3
2.49E+1	******	******	******	******	5	2.83E-3	1.01E-4	6.95E-4
2.5E+1	******	******	******	******	5	-5.66E-3	2.68E-5	-1.39E-3
2.51E+1	******	******	******	******	5	-4.76E-2	-9.61E-6	-1.17E-2
2.52E+1	******	******	******	******	5	5.1E-2	-8.44E-6	1.25E-2
2.53E+1	******	******	******	******	5	2E-2	-1.27E-4	4.91E-3
2.54E+1	******	******	******	******	5	-3.62E-3	8.15E-5	-8.9E-4
2.55E+1	******	******	******	******	5	5.3E-2	-1.29E-4	1.3E-2
2.56E+1	******	******	******	******	5	1.07E-1	-7.98E-5	2.63E-2
